id;kvartal;bil;buss;sykkel;gange
Bussvegen;2023-1;85105,37292272519;5229,193237143444;2408,6435295010574;18092,6598226279
Bussvegen;2023-2;86883,31851962503;4985,692017155497;4437,6568644286845;16652,54445547911
Bussvegen;2023-3;79800,47752156862;4779,95867286074;4214,332060411762;15752,832617913218
Bussvegen;2023-4;83504,87808094423;5645,661837991314;2801,8383173158954;17848,871762682287
Bussvegen;2024-1;82181,55142905004;5317,943365979;2447,3520071263233;20944,198524351414
Bussvegen;2024-2;88884,70306333333;5419,63116573922;4685,161307907812;25642,134871820133
Bussvegen;2024-3;80975,78397414902;4893,281690629458;4300,250367822531;20832,537036021567
Bussvegen;2024-4;83635,29251836053;5919,343359369171;3099,61298221715;24520,774872560607
Bussvegen;2025-1;82968,3979063413;5573,594288519685;2755,250856360378;16338,414174238882
Bussvegen;2025-2;86542,08237796837;5552,133944785439;4529,964770174066;15493,1566526082
Bussvegen;2025-3;78786,08254693051;3890,331186442248;3992,5140676831084;10748,433035337863
Bussvegen;2025-4;85656,97403169874;5633,949865587507;3284,8854657184374;15997,15625929508
